Name,Actions,Attention,AnxietyConfidence,BoredomFascination,FrustrationEuphoria,DispiritedEncouraged,TerrorEnchantment,Time
Andrés,5,63.63461,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,2.301509
Silvia,6,49.41077,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,2.301519
Fernando,1,54.46581,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,2.301528
Pilar,6,40.93716,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,2.301538
Raúl,3,41.80957,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,2.301546
Laura,6,37.06071,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,2.301564
Ana,1,66.25625,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,2.301574
Carlos,4,42.21433,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,2.301582
Carmen,7,66.74387,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,2.30159
Patricia,7,58.91603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,2.301599
Miguel,3,67.44888,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,2.301609
Isabel,2,57.96602,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,2.301618
Javier,5,52.40194,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,2.301625
Mónica,8,55.59191,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,2.301633
Julia,5,50.03436,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,2.301641
David,1,68.6221,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,2.301651
Rocío,1,39.87372,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,2.301671
Álvaro,5,56.65186,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,2.301681
José,8,62.08703,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,2.301689
Roberto,5,64.96419,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,3.667761
Andrés,5,63.63461,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,3.667775
Silvia,6,49.41077,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,3.667785
Fernando,1,54.46581,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,3.667793
Pilar,6,40.93716,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,3.667801
Raúl,3,41.80957,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,3.667809
Laura,6,37.06071,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,3.667817
Ana,1,66.25625,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,3.667825
Carlos,4,42.21433,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,3.667833
Carmen,7,66.74387,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,3.667841
Patricia,7,58.91603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,3.66785
Miguel,3,67.44888,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,3.668054
Isabel,2,57.96602,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,3.668065
Javier,5,52.40194,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,3.668074
Mónica,8,55.59191,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,3.668084
Julia,5,50.03436,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,3.668092
David,1,68.6221,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,3.668103
Rocío,1,39.87372,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,3.668113
Álvaro,5,56.65186,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,3.668121
José,8,62.08703,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,3.668129
Roberto,5,64.91624,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,4.356837
Andrés,5,63.62878,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,4.356851
Silvia,6,49.40429,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,4.356859
Fernando,1,54.41646,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,4.356868
Pilar,6,40.92732,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,4.356883
Raúl,3,41.80055,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,4.356891
Laura,6,37.05128,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,4.356898
Ana,1,66.20467,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,4.356906
Carlos,4,42.20153,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,4.356915
Carmen,7,66.73166,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,4.356923
Patricia,7,58.90353,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,4.35693
Miguel,3,67.43525,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,4.356939
Isabel,2,57.95015,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,4.356947
Javier,5,52.38654,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,4.356954
Mónica,8,55.57628,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,4.356962
Julia,5,50.01782,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,4.356969
David,1,68.60312,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,4.356977
Rocío,1,39.85512,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,4.356988
Álvaro,5,56.63307,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,4.356996
José,8,62.06749,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,4.357003
Roberto,5,64.91624,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,5.362777
Andrés,5,63.62878,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,5.362792
Silvia,6,49.40429,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,5.362816
Fernando,1,54.41646,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,5.362825
Pilar,6,40.92732,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,5.362835
Raúl,3,41.80055,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,5.362843
Laura,6,37.05128,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,5.362851
Ana,1,66.20467,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,5.36286
Carlos,4,42.20153,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,5.362868
Carmen,7,66.73166,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,5.362884
Patricia,7,58.90353,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,5.362894
Miguel,3,67.43525,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,5.362902
Isabel,2,57.95015,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,5.36291
Javier,5,52.38654,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,5.362918
Mónica,8,55.57628,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,5.362926
Julia,5,50.01782,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,5.362935
David,1,68.60312,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,5.362943
Rocío,1,39.85512,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,5.362953
Álvaro,5,56.63307,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,5.36296
José,8,62.06749,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,5.362967
Roberto,5,64.8683,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,6.366407
Andrés,5,63.62295,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,6.366419
Silvia,6,49.3978,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,6.366485
Fernando,1,54.36711,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,6.366495
Pilar,6,40.9175,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,6.366504
Raúl,3,41.79154,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,6.366515
Laura,6,37.04186,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,6.366523
Ana,1,66.15308,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,6.36653
Carlos,4,42.18872,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,6.366539
Carmen,7,66.71945,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,6.366546
Patricia,7,58.89103,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,6.366554
Miguel,3,67.42162,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,6.366562
Isabel,2,57.93428,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,6.36657
Javier,5,52.37114,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,6.366577
Mónica,8,55.56065,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,6.366585
Julia,5,50.00128,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,6.366595
David,1,68.58414,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,6.366603
Rocío,1,39.83652,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,6.366611
Álvaro,5,56.61428,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,6.366619
José,8,62.04795,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,6.366626
Roberto,5,64.8683,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,7.362959
Andrés,5,63.62295,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,7.362971
Silvia,6,49.3978,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,7.362981
Fernando,1,54.36711,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,7.362989
Pilar,6,40.9175,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,7.362998
Raúl,3,41.79154,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,7.363005
Laura,6,37.04186,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,7.363014
Ana,1,66.15308,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,7.36303
Carlos,4,42.18872,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,7.363039
Carmen,7,66.71945,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,7.363046
Patricia,7,58.89103,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,7.363054
Miguel,3,67.42162,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,7.363062
Isabel,2,57.93428,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,7.36307
Javier,5,52.37114,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,7.363077
Mónica,8,55.56065,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,7.363084
Julia,5,50.00128,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,7.363093
David,1,68.58414,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,7.363101
Rocío,1,39.83652,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,7.363109
Álvaro,5,56.61428,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,7.363117
José,8,62.04795,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,7.363125
Roberto,5,64.8683,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,8.362948
Andrés,5,63.62295,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,8.36296
Silvia,6,49.3978,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,8.36297
Fernando,1,54.36711,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,8.362979
Pilar,6,40.9175,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,8.362988
Raúl,3,41.79154,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,8.362997
Laura,6,37.04186,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,8.363006
Ana,1,66.15308,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,8.363013
Carlos,4,42.18872,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,8.363022
Carmen,7,66.71945,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,8.36303
Patricia,7,58.89103,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,8.363038
Miguel,3,67.42162,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,8.363047
Isabel,2,57.93428,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,8.363053
Javier,5,52.37114,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,8.363091
Mónica,8,55.56065,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,8.363101
Julia,5,50.00128,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,8.363109
David,1,68.58414,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,8.363116
Rocío,1,39.83652,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,8.363125
Álvaro,5,56.61428,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,8.363133
José,8,62.04795,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,8.363141
Roberto,5,64.82036,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,9.444499
Andrés,5,63.61712,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,9.444511
Silvia,6,49.39132,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,9.444519
Fernando,1,54.31776,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,9.444527
Pilar,6,40.90766,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,9.444534
Raúl,3,41.78252,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,9.444543
Laura,6,37.03243,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,9.444558
Ana,1,66.1015,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,9.444566
Carlos,4,42.17592,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,9.444573
Carmen,7,66.70724,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,9.44458
Patricia,7,58.87853,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,9.444589
Miguel,3,67.40798,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,9.444595
Isabel,2,57.91841,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,9.444603
Javier,5,52.35574,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,9.44461
Mónica,8,55.54501,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,9.444616
Julia,5,49.98475,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,9.444624
David,1,68.56516,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,9.444632
Rocío,1,39.81792,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,9.44464
Álvaro,5,56.59549,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,9.444649
José,8,62.02842,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,9.444655
Roberto,5,64.82036,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,10.44719
Andrés,5,63.61712,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,10.4472
Silvia,6,49.39132,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,10.44721
Fernando,1,54.31776,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,10.44722
Pilar,6,40.90766,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,10.44723
Raúl,3,41.78252,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,10.44724
Laura,6,37.03243,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,10.44724
Ana,1,66.1015,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,10.44725
Carlos,4,42.17592,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,10.44726
Carmen,7,66.70724,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,10.44727
Patricia,7,58.87853,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,10.44727
Miguel,3,67.40798,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,10.44729
Isabel,2,57.91841,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,10.4473
Javier,5,52.35574,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,10.4473
Mónica,8,55.54501,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,10.44731
Julia,5,49.98475,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,10.44732
David,1,68.56516,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,10.44733
Rocío,1,39.81792,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,10.44734
Álvaro,5,56.59549,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,10.44734
José,8,62.02842,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,10.44735
Roberto,5,64.77242,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,11.44398
Andrés,5,63.61129,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,11.444
Silvia,6,49.38483,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,11.444
Fernando,1,54.26841,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,11.44401
Pilar,6,40.89783,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,11.44408
Raúl,3,41.77351,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,11.44409
Laura,6,37.02301,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,11.44409
Ana,1,66.04992,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,11.4441
Carlos,4,42.16312,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,11.44411
Carmen,7,66.69504,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,11.44412
Patricia,7,58.86603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,11.44413
Miguel,3,67.39435,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,11.44413
Isabel,2,57.90254,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,11.44414
Javier,5,52.34034,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,11.44415
Mónica,8,55.52938,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,11.44416
Julia,5,49.96821,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,11.44416
David,1,68.54617,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,11.44418
Rocío,1,39.79932,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,11.44418
Álvaro,5,56.5767,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,11.44419
José,8,62.00888,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,11.4442
Roberto,5,64.77242,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,12.4521
Andrés,5,63.61129,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,12.45211
Silvia,6,49.38483,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,12.45212
Fernando,1,54.26841,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,12.45213
Pilar,6,40.89783,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,12.45214
Raúl,3,41.77351,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,12.45215
Laura,6,37.02301,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,12.45216
Ana,1,66.04992,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,12.45216
Carlos,4,42.16312,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,12.45217
Carmen,7,66.69504,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,12.45219
Patricia,7,58.86603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,12.4522
Miguel,3,67.39435,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,12.4522
Isabel,2,57.90254,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,12.45221
Javier,5,52.34034,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,12.45222
Mónica,8,55.52938,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,12.45223
Julia,5,49.96821,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,12.45223
David,1,68.54617,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,12.45224
Rocío,1,39.79932,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,12.45225
Álvaro,5,56.5767,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,12.45226
José,8,62.00888,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,12.45227
Roberto,5,64.77242,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,13.45421
Andrés,5,63.61129,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,13.45422
Silvia,6,49.38483,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,13.45424
Fernando,1,54.26841,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,13.45425
Pilar,6,40.89783,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,13.45426
Raúl,3,41.77351,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,13.45427
Laura,6,37.02301,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,13.45427
Ana,1,66.04992,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,13.45428
Carlos,4,42.16312,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,13.45429
Carmen,7,66.69504,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,13.4543
Patricia,7,58.86603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,13.45431
Miguel,3,67.39435,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,13.45431
Isabel,2,57.90254,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,13.45432
Javier,5,52.34034,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,13.45433
Mónica,8,55.52938,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,13.45434
Julia,5,49.96821,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,13.45439
David,1,68.54617,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,13.4544
Rocío,1,39.79932,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,13.45441
Álvaro,5,56.5767,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,13.45441
José,8,62.00888,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,13.45442
Roberto,5,64.72447,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,14.44047
Andrés,5,63.60546,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,14.44049
Silvia,6,49.37835,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,14.4405
Fernando,1,54.21906,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,14.44051
Pilar,6,40.888,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,14.44051
Raúl,3,41.7645,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,14.44052
Laura,6,37.01358,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,14.44053
Ana,1,65.99834,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,14.44054
Carlos,4,42.15032,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,14.44055
Carmen,7,66.68283,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,14.44056
Patricia,7,58.85353,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,14.44057
Miguel,3,67.38071,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,14.44058
Isabel,2,57.88667,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,14.44058
Javier,5,52.32494,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,14.44059
Mónica,8,55.51375,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,14.4406
Julia,5,49.95167,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,14.44061
David,1,68.52719,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,14.44061
Rocío,1,39.78072,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,14.44062
Álvaro,5,56.55791,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,14.44063
José,8,61.98934,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,14.44064
Roberto,5,64.72447,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,15.44106
Andrés,5,63.60546,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,15.44108
